author,title,description,content,date
hannahjacksonglobal,New numbers show 29% increase in advance voting over 2015: Elections Canada - Global News,New numbers show 29% increase in advance voting over 2015: Elections Canada Global News Snapchat teams up with Elections Canada to encourage young users to vote CTV News Canadian actor fears he may not be able to vote while on musical tour in U.S. CBC.ca Abou…,"New numbers released by Elections Canada on Tuesday say voter turnout during the four-day advance polling period was up 29 per cent over numbers recorded ahead of the federal election in 2015.
According to Elections Canada, preliminary figures show 4.7 milli… [+2567 chars]",2019-10-16T14:15:22Z
,Business Outlook Survey—Autumn 2019 - Bank of Canada,"Business Outlook Survey—Autumn 2019 Bank of Canada Business outlook more rosy overall but Prairies still hard hit, Bank of Canada says CBC.ca Bank of Canada outlook suggests uptick in business sentiment - Business News Castanet.net Bank of Canada unlikely to …","The Business Outlook Survey (BOS) indicator is a summary measure that captures common movements from the main BOS questions.2 A variant of the BOS indicator (Chart 1-A, black line) relies on the same BOS questions but at the regional level; thus, the number o… [+1496 chars]",2019-10-22T14:34:33Z
,"""Meghan Markle For President?"" - ET Canada","""Meghan Markle For President?"" ET Canada Princess Diana Had to Stop Wearing This Popular Brand Because of Prince Charles and Camilla's Affair Showbiz Cheat Sheet What Happened to Princess Diana--and Why It's Not Happening to Meghan E! NEWS KENNETH ROSE'S secr…",,2019-11-02T20:51:01Z
Jeff Blair,Canadian men’s team’s landmark moment within reach after signature win - Sportsnet.ca,Canadian men’s team’s landmark moment within reach after signature win Sportsnet.ca Canada Shock U.S.! What Went Wrong for the U.S? Major League Soccer Canada not done after historic win over USMNT: 'It's only one step' Sporting News Canadian men's soccer tea…,"TORONTO — As far as I could tell, the country didnt stop Tuesday night. Too much stuff on right now: serious, political stuff. Hockey. Life as it is in this country in the early days of Fall.
But for once it seems as if that day may not be far off for the Ca… [+8670 chars]",2019-10-16T04:44:00Z
,Can a Trudeau minority mend provincial divides? | Power & Politics - CBC News,Can a Trudeau minority mend provincial divides? | Power & Politics CBC News Watch: Alberta Premier Post Federal Election Commentary Edmonton Journal Canada Election: Liberal victory renews separatist talk in Western Canada Global News Fire burning in Western …,,2019-10-23T00:12:58Z
,Canada Election: Trudeau casts his ballot on election day - Global News,"Canada Election: Trudeau casts his ballot on election day Global News Liberals bracing for losses in Atlantic Canada as polls open on the East Coast CTV News Natural resources, jobs and taxes in Andrew Scheer's letter to Dwight Ball CBC.ca The Munk debate tha…","Liberal Party Leader Justin Trudeau was joined by his wife, Sophie Grégoire Trudeau, and children as he cast his ballot in his home riding of Papineau on Monday.
For more info, please go to http://www.globalnews.caSubscribe to Global News Channel HERE: http:… [+271 chars]",2019-10-21T15:03:31Z
"Geneva Sands, Carma Hassan, Chuck Johnston, Miguel Marquez, Linh Tran and Ivana Kottasová, CNN",British family 'traumatized' after being detained by US immigration,"A British family has filed a complaint with the the Department of Homeland Security over their detention by US immigration officials after crossing the US border while vacationing in British Columbia, Canada earlier this month, the family's lawyers said on Tu…","(CNN)A British family has filed a complaint with the the Department of Homeland Security over their detention by US immigration officials after crossing the US border while vacationing in British Columbia, Canada earlier this month, the family's lawyers said … [+3575 chars]",2019-10-16T00:44:58Z
The Canadian Press,Five things to watch for in the Canadian business world in the coming week - CTV News,"Statistics Canada will release its Consumer Price Index and Kinder Morgan Canada hosts one of its last quarterly conference calls as its sale to Pembina Pipeline is expected to close late in the fourth quarter, this week in Canadian business.","TORONTO -- Five things to watch for in the Canadian business world in the coming week:
Aphria call
Aphria Inc. will hold a conference call to discuss its first-quarter financial results on Monday. Cannabis company Aleafia Health Inc. announced on Oct. 8 tha… [+1659 chars]",2019-10-13T14:11:00Z
https://www.facebook.com/bbcnews,Justin Trudeau: The good news - and bad - for Canada's PM - BBC News,Justin Trudeau: The good news - and bad - for Canada's PM BBC News Canada election results – live: Trudeau expected to maintain grip on power in minority government after fraught election against Scheer The Independent Canadian dollar holds near three-month h…,"Media caption""Canadians voted in favour of a progressive agenda"" - Justin Trudeau's victory speech
Prime Minister Justin Trudeau has retained power in Canada's election but lost both his majority and - by a slight margin - the popular vote. Here is a breakdo… [+6990 chars]",2019-10-22T07:26:50Z
Melanie Woods,2019 Advance Voting Turnout Was The Highest Ever For A Canadian Election: Estimates - HuffPost Canada,"2019 Advance Voting Turnout Was The Highest Ever For A Canadian Election: Estimates HuffPost Canada Roughly 4.7M ballots cast in advance polls, Elections Canada says CBC.ca About one million more people voted in advance polls this year compared to 2015: Elect…","It appears a lot of people had a side of democracy with their turkey this Thanksgiving.
In a preliminary estimate, Elections Canada says 4.7 million people voted in advance polls on four days over this past long weekend. 
This marks an increase of 29 per ce… [+1176 chars]",2019-10-15T22:11:05Z
,About one million more people voted in advance polls this year compared to 2015: Elections Canada - The Globe and Mail,"About one million more people voted in advance polls this year compared to 2015: Elections Canada The Globe and Mail Roughly 4.7M ballots cast in advance polls, Elections Canada says CBC.ca Advance polls see 4.7 million voters, setting new record CTV News New…","Because this is only the second election in a row in which advance polls were open on the Thanksgiving weekend, PhD candidate Tim Abray, who is studying voter behaviour, said not enough data or history are available to say what the impact will be.
Doug Ives/… [+3550 chars]",2019-10-16T01:21:45Z
Sima Shakeri,Investigation Underway After 5 Teens Shot In Toronto - HuffPost Canada,Investigation Underway After 5 Teens Shot In Toronto HuffPost Canada Targeted shooting in Toronto caught on video CBC News: The National Security video captures Toronto apartment shooting that sent 5 teenagers to hospital CBC.ca Toronto police chief extends g…,"TORONTO — Cleaners were removing large bloodstains splattered along the hallway of a Toronto residential building on Thursday following a shooting that sent five teenagers to hospital, some in critical condition.
Police said the victims — a 16-year-old girl,… [+4043 chars]",2019-11-01T02:36:52Z
,TSX dips to end flat week ahead of election as loonie hits three-month high - Yahoo Canada Finance,TSX dips to end flat week ahead of election as loonie hits three-month high Yahoo Canada Finance S&P/TSX composite edges lower while U.S. stock markets fall; loonie up Financial Post At midday: TSX flat despite cannabis stock rally The Globe and Mail TSX flat…,"TORONTO Canada's main stock index ended a fairly flat week lower on the eve of the federal election as the loonie hit a three-month high.
The Canadian dollar has risen to its highest level since July 22 in part due to waning expectations of domestic interest… [+3224 chars]",2019-10-18T21:23:00Z
,First sabre-toothed cat fossil in Canada found in Medicine Hat - CHAT News Today,First sabre-toothed cat fossil in Canada found in Medicine Hat CHAT News Today Canada's first sabre-toothed cat fossil found in Medicine Hat CBC.ca Sabre-toothed cat discovery - Canada News Castanet.net Fossil evidence of sabre-toothed cat found in southern A…,"Ashley Reynolds, a PhD candidate at the University of Toronto, came across the fossil in the Royal Ontario Museum while doing research on the Smilodon.
I just happened to be looking through the drawers that we have at the Royal Ontario Museum and came across… [+2605 chars]",2019-10-04T23:54:15Z
Kristian Jack,Canadian men’s soccer team aiming to end more than 30 years of hurt - TSN,Canadian men’s soccer team aiming to end more than 30 years of hurt TSN BTC: USMNT Efficient vs. Cuba in Nations League U.S. Soccer Berhalter talks up Canada ahead of Concacaf Nations League game Sportsnet.ca CONCACAF Game Day: Canada vs. United States Toront…,"Back in 1996, the Football Association in England approached Ian Broudie, singer and guitarist of the band Lightning Seeds, to make a song for the home nations European Championships campaign.
Broudie reluctantly agreed, and after comedians David Baddiel and… [+6323 chars]",2019-10-14T17:40:14Z
The Canadian Press,Tories and NDP put dent in Liberal dominance of Atlantic provinces - CTV News,Tories and NDP put dent in Liberal dominance of Atlantic provinces CTV News Canadian election results 2019: A live riding-by-riding map of the vote National Post Over to you Canada Maclean's EDITORIAL: A divided Canada on election day Toronto Sun How Justin T…,"HALIFAX -- Atlantic Canada's once monochromatic electoral map, awash in Liberal red since 2015, received a slight makeover Monday as the Tories, NDP and Greens punched holes in the Liberals' East Coast fortress.
Four years ago, voters across the region hande… [+2861 chars]",2019-10-22T00:42:00Z
Melanie Woods,Conservative Party Candidate Heather Leung Dropped After Homophobic Video Emerges - HuffPost Canada,Conservative Party Candidate Heather Leung Dropped After Homophobic Video Emerges HuffPost Canada View full coverage on Google News,"UPDATE: In a statement Friday evening, the Conservative Party of Canada said Leung will no longer be representing the party. 
“Recent media reports have brought to light offensive comments made by Ms. Leung saying ‘homosexuals recruit’ children, and describi… [+6120 chars]",2019-10-04T22:46:53Z
Canadian Press,"CANADA: Dog owners have reduced risk of dying from heart problems, says researcher - TimminsToday","CANADA: Dog owners have reduced risk of dying from heart problems, says researcher TimminsToday View full coverage on Google News","TORONTO — Cats may have nine lives, but owning a dog may extend yours, a Toronto researcher says.
A study released Tuesday suggests dog owners live longer than their canine-less counterparts, experiencing nearly a one-third lower risk of dying from heart pro… [+2602 chars]",2019-10-09T00:55:00Z
,10 things: Raptors' flaws exposed in loss to Celtics - Yahoo Canada Sports,10 things: Raptors' flaws exposed in loss to Celtics Yahoo Canada Sports View full coverage on Google News,"Here are 10 takeaways from the Toronto Raptors 112-106 loss to the Boston Celtics.
One Lessons learned:
Not that its ever good to lose a completely winnable game, but losses have a way of revealing the truth. Toronto beat itself Friday with its sloppy execu… [+5791 chars]",2019-10-26T02:29:00Z
HELLO! Canada,Margaret Atwood receives special honour from the Queen at Windsor Castle - HELLO! Canada,Margaret Atwood receives special honour from the Queen at Windsor Castle HELLO! Canada View full coverage on Google News,"October 25, 2019
The Queen of Canadian literature was honoured by 
Her Majesty
herself on Oct. 25.
Margaret Atwood was welcomed to Windsor Castle to receive a
very special award from the Queen. The 
Handmaids
Tale
 author, who recently won the Booker … [+2791 chars]",2019-10-25T17:03:50Z
Wire Service,"Breast Cancer Awarness Month: Men get breast cancer, too - Victoria News","<p>According to BC Cancer Foundation, more than 200 men in Canada will be affected this year </p>","Republished with permission from the BC Cancer Foundation
Laurie Rix lost her husband Neil Macrae in 2017 to breast cancer – a disease largely associated with women.
In 2015, the well-known Vancouver sportscaster noticed a lump inside his breast that was th… [+2351 chars]",2019-10-22T00:15:00Z
Kris Holt,Lyft will give people free and discounted rides to job interviews,"Lyft has announced a plan to help people ""making their way through the employment pipeline"" get to and from job interviews, professional training programs and new places of work with free or discounted rides. It's working with several nonprofit partners -- in…","The ridesharing company is aiming to help people from a range of backgrounds. They include veterans, people with disabilities, refugees, formerly incarcerated individuals, those in low-income areas and 18- to 24-year-olds perhaps trying to land their first jo… [+1150 chars]",2019-10-17T19:32:00Z
Christine Fisher,"Ubtech’s latest educational, dancing robot is bigger and more lifelike","There are plenty of educational coding robots, but few have moves like UBTECH's dancing robot MeeBot. UBTECH launched the JIMU build-your-own-bot kit for MeeBot in 2016. Today, the company unveiled MeeBot 2.0. The updated MeeBot 2.0 Kit is 30 percent bigger t…","The updated MeeBot 2.0 Kit is 30 percent bigger than the original, and it comes with more lifelike LED ""eyes"" that can be programmed to blink or flash in different colors. The humanoid bot comes with a codable color sensor, so users can program it to respond … [+681 chars]",2019-10-10T15:31:00Z
Richard Lawler,Netflix grows to 158 million subscribers as Disney+ looms,"Netflix just released its results for Q3 in 2019 ( PDF ), showing that it added slightly fewer subscribers (6.77 million) than the 7 million it anticipated, while still notching an all-time record for the quarter. The company cited lower retention rates in th…","Netflix just released its results for Q3 in 2019 (PDF), showing that it added slightly fewer subscribers (6.77 million) than the 7 million it anticipated, while still notching an all-time record for the quarter. The company cited lower retention rates in the … [+821 chars]",2019-10-16T20:35:00Z
Reuters Editorial,"Boeing 737 MAX grounding a drag on Canadian investment in machinery, equipment","The global grounding of Boeing's 737 MAX jet is weighing on Canadian economic investment in machinery and equipment, with carriers unable to take deliveries of the planes, the Bank of Canada said on Wednesday in a report.","(Reuters) - The global grounding of Boeing’s (BA.N) 737 MAX jet is weighing on Canadian economic investment in machinery and equipment, with carriers unable to take deliveries of the planes, the Bank of Canada said on Wednesday in a report. 
Investment in ma… [+768 chars]",2019-10-30T21:47:08Z
Mary Hanbury,"Canada Goose just made its biggest coat ever for Tacko Fall, one of the world's tallest basketball players","Canada Goose created a custom jacket for NBA player Tacko Fall. It was the largest coat Canada Goose has ever made, a company spokesperson said. The length from the back of the neck down to the low hip is 33.5 inches, which is nine inches longer than Canada G…","Canada Goose unveiled its largest coat on Friday.
The new jacket, which is almost four feet long, was made bespoke for NBA player Tacko Fall, who is seven-foot-five.
News of the gift was first shared by reporters who attended a basketball game between Fall'… [+1330 chars]",2019-10-29T16:18:48Z
CTVNews.ca Writer,Elections Canada reports historic turnout among international voters - CTV News,"Elections Canada reports historic turnout among international voters CTV News 578K ballots cast in advance polls in Alberta, Elections Canada says CBC.ca 'Minority government fever': Nanos finds Liberals, Conservatives in dead heat CTV News COMMENTARY: A lett…","TORONTO Elections Canada has received more mailed-in ballots from Canadians living abroad than in any other federal election in history.
As of Friday, Elections Canada said it had received 21,842 ballots from international electors, the biggest turnout among… [+1763 chars]",2019-10-18T21:02:00Z
,Study: red meat not so bad? - Canada News - Castanet.net,A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.,"A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.
Dalhousie University's Bradley Johnston said Saturday tha… [+2269 chars]",2019-10-06T13:55:00Z
Maija Kappler,Flu Shot 2019: Everything You Need To Know - HuffPost Canada,"Flu Shot 2019: Everything You Need To Know HuffPost Canada Quebec authorities are bracing for tougher flu season Montreal Gazette Health Check: Flu season is here, what 'Sober October' is and don't pick at your face! WFAA Only 35% Of Pregnant Women Get Flu an…","The weather has gotten colder, the topic of Halloween costumes has crept into every conversation, and pumpkin has started to show up in the most unnatural of foods. It can only mean one thing: flu season is almost here.
Most Canadians are safe right now, acc… [+2508 chars]",2019-10-08T20:37:29Z
Sima Shakeri,Jagmeet Singh Uses TikTok To Highlight NDP Platform - HuffPost Canada,Jagmeet Singh Uses TikTok To Highlight NDP Platform HuffPost Canada NDP Leader Jagmeet Singh reaches out to young voters on eve of election CBC.ca Jagmeet Singh says minority governments 'are a good thing' in final push for votes in BC Toronto Star Singh make…,"NDP Leader Jagmeet Singh has taken social media by storm in the last days of the federal election campaign with a pair of suave TikTok video that have been shared far and wide.
Even if you don’t know what TikTok is, Singh’s video this week simplifying the ND… [+3599 chars]",2019-10-21T00:39:11Z
,Ann Curry Warned NBC About Matt Lauer Before Firing - ET Canada,"Ann Curry Warned NBC About Matt Lauer Before Firing ET Canada Matt Lauer allegedly exposed himself to 'Today' show producer CANOE Matt Lauer treated on-air NBC personality like 'piece of meat,' 'exposed' himself to 'Today' producer, says Ronan Farrow Yahoo Ne…","[[getSimpleString(data.title)]]
[[getSimpleString(data.description)]]
[[getSimpleString(data.videoCountText)]]",2019-10-15T19:24:12Z
,"Trudeau, Singh battle for progressive mantle as campaign enters final week - The Globe and Mail","Trudeau, Singh battle for progressive mantle as campaign enters final week The Globe and Mail Trudeau digs for NDP, Green votes, issues dire warning about 'Conservative cuts' CBC.ca Abolishing the Senate would see Canadians better represented, NDP leader says…","NDP leader Jagmeet Singh poses for a selfie during a campaign stop in Toronto on Oct. 15, 2019. 
Nathan Denette/The Canadian Press
Party leaders entered the final week of the federal election campaign aiming to define the ballot box question to suit their m… [+4572 chars]",2019-10-15T14:43:54Z
,'TRAUMATIZED': Brits visiting Canada detained after accidentally driving into U.S. - Toronto Sun,'TRAUMATIZED': Brits visiting Canada detained after accidentally driving into U.S. Toronto Sun British holidaymakers 'traumatised' after arrest at US border BBC News British couple and baby detained in US for ‘accidentally’ crossing border into Canada after t…,"The Connors family didn’t plan to be on the unmarked road.
Originally from the United Kingdom, the two couples and their three young children were driving near the U.S.-Canada border on Oct. 3 during a visit to Vancouver when an animal ventured into the road… [+8312 chars]",2019-10-15T13:53:00Z
HELLO! Canada,Archie Harrison is a redhead! Prince Harry and Meghan Markle confirm his hair colour - HELLO! Canada,Archie Harrison is a redhead! Prince Harry and Meghan Markle confirm his hair colour HELLO! Canada Trailer for Harry and Meghan's ITV documentary released LaineyGossip Prince Harry Becomes Emotional While Talking About Fatherhood At WellChild Awards ETCanada.…,"October 15, 2019Archie Harrison has ginger hair, just like his dad!
Prince Harry and Duchess Meghan confirmed their sons hair
colour while speaking with winners at the WellChild Awards in London on Oct. 15.
At a reception for winners held before the ceremo… [+2342 chars]",2019-10-15T19:08:09Z
Staff,Canada election: What federal leaders have pledged on the economy - Global News,Canada election: What federal leaders have pledged on the economy Global News What’s more cringeworthy than one video about Trudeau’s blackface? Two videos. Maclean's Elections Canada contradicts Scheer's claim that ruling was issued in support of Conservativ…,"Federal parties vying for victory on Oct. 21 are making a range of promises on how they will better the economy.
Liberal Leader Justin Trudeau, the Conservatives Andrew Scheer, New Democrat Jagmeet Singh, Bloc Québécois Leader Yves-François Blanchet and the … [+9525 chars]",2019-10-10T12:44:54Z
"Patrick Cain, Amanda Connolly, Alexander Quon and jeffsemplegn",Elections Canada probes reports that robocalls told some voters to vote after Monday - Global News,Elections Canada probes reports that robocalls told some voters to vote after Monday Global News Robocalls tell voters to head to the polls a day late CBC.ca British Columbians head to the polls CTV News Live Canada election results 2019: Real-time results in…,"Robocalls in Quebec, Nova Scotia and New Brunswick are trying to misdirect voters by telling them to head to the polls at a future date.
Officials at Elections Canada are urging voters to report any such robocalls to them, and are reminding voters that Monda… [+2414 chars]",2019-10-21T23:47:17Z
,"Canada Election: Justin Trudeau attends rally in Milton, Ont.| LIVE - Global News","Canada Election: Justin Trudeau attends rally in Milton, Ont.| LIVE Global News Where the party leaders are on Day 40 of the federal election campaign CBC.ca Trudeau defends Indigenous record despite brief mention of issues during campaign Global News GOLDSTE…","Liberal Leader Justin Trudeau attended a campaign rally in Milton, Ont., on Saturday afternoon.
For more info, please go to http://www.globalnews.caSubscribe to Global News Channel HERE: http://bit.ly/20fcXDcLike Global News on Facebook HERE: http://bit.ly/2… [+171 chars]",2019-10-19T18:32:06Z
,Madu fires shot at city hall spending ahead of Alberta budget - Calgary Herald,Madu fires shot at city hall spending ahead of Alberta budget Calgary Herald Separatist talk renews in Alberta following Justin Trudeau Liberal victory Global News Read the full text of Justin Trudeau's victory speech: Liberal leader says he's on Alberta and …,"Municipal Affairs Minister Kaycee Madu has lobbed a grenade at Alberta’s big cities just days ahead of the provincial budget with an op-ed in the Calgary Herald, accusing Calgary and Edmonton of “excessive” spending.
The minister said tax bills in Calgary an… [+4044 chars]",2019-10-23T02:01:50Z
Michelle McQuigge,Mother of slain Hamilton teen says ‘everyone’ failed her son - The Globe and Mail,Mother of slain Hamilton teen says ‘everyone’ failed her son The Globe and Mail Grieving Hamilton mom says 'everyone' failed her bullied son - Canada News Castanet.net Hamilton high school stabbing victim 'just wanted people to be happy' TheSpec.com Best frie…,"Shari-Ann Bracci-Selvey, centre, fights back tears at a vigil for her 14-year-old murdered son, Devan Selvey, at his high school, Sir Winston Churchill Secondary School, in Hamilton, Ont., on Oct. 9, 2019. 
The Canadian Press
A mother who witnessed her son … [+3708 chars]",2019-10-09T16:26:40Z
The Canadian Press,Typhoon causes Canada-Namibia to be cancelled at Rugby World Cup - TSN,"Typhoon causes Canada-Namibia to be cancelled at Rugby World Cup TSN Deadly Typhoon Hagibis plows north after paralyzing Tokyo area CBC.ca 7 dead after Typhoon Hagibis paralyzes Tokyo, moving on to northern Japan Global News Rugby World Cup: Scotland v Japan …","KAMAISHI, Japan Canada will leave the Rugby World Cup winless for the second straight tournament, with the weather tying its hands this time.
Tournament organizers decided to cancel Canada's final Pool B game against Namibia because of Typhoon Hagibis. The g… [+3148 chars]",2019-10-12T21:41:35Z
Ryan Maloney,"EU, Germany Happy About What Liberal Win Means For Fighting Climate Change - HuffPost Canada","EU, Germany Happy About What Liberal Win Means For Fighting Climate Change HuffPost Canada EU, Germany welcome 'continuity' on climate change with Liberal minority win CBC.ca I thought Britain had biased, Left-wing media – until I spent time in Canada Telegra…","OTTAWA — The European Union and Germany say they appreciate the “continuity” in Canadian climate change policy that will result from the federal election result.
The Liberals won a minority mandate in Monday’s vote after a campaign that Prime Minister Justin… [+3480 chars]",2019-10-27T12:00:55Z
The Canadian Press,RCMP charge two Montrealers over cyber attack of Bell customer accounts - CP24 Toronto's Breaking News,The RCMP say charges have been laid against two Quebecers for their alleged involvement in a cyber attack of Bell Canada customer accounts.,"MONTREAL - The RCMP say charges have been laid against two Quebecers for their alleged involvement in a cyber attack of Bell Canada customer accounts.
Nana Koranteng and Jesiah Russell-Francis of Montreal are to appear on charges including unauthorized use o… [+523 chars]",2019-10-08T22:52:00Z
,"The verdict is in, and Year One of legalized cannabis in Canada was a dud - The Globe and Mail","The verdict is in, and Year One of legalized cannabis in Canada was a dud The Globe and Mail View full coverage on Google News","The bulk of cannabis sales are still underground. 
Jeff McIntosh/The Canadian Press
Theres no getting around it: Year one of legalized cannabis in Canada was a dud.
It was an unmitigated disaster for many investors. The bubble burst, and the shares of most… [+14617 chars]",2019-10-18T20:57:34Z
Joanna Smith,Trudeau invokes memory of his father to inspire rally on his 100th birthday - CTV News,"Trudeau invokes memory of his father to inspire rally on his 100th birthday CTV News Canada Election: Justin Trudeau attends rally in Milton, Ont.| LIVE Global News Trudeau defends record on Indigenous issues, as stump speech mentions are brief CTV News GOLDS…","VAUGHAN, Ont. -- Justin Trudeau chose to share a memory of his father, on what would have been his 100th birthday, to motivate a crowd hoping the Liberals can pull off another victory.
""My father always used to tell me that when you are paddling across a big… [+5495 chars]",2019-10-18T17:23:00Z
The Canadian Press,Federal leaders face off in final debate of 2019 campaign - The Globe and Mail,Federal leaders face off in final debate of 2019 campaign The Globe and Mail Canada Election 2019 French-Language Leaders' Debate HuffPost Canada WATCH LIVE: Federal leaders’ French debate for 2019 election Global News Federal leaders face off in final debate…,"(FromL) New Democratic Party leader Jagmeet Singh, Green Party leader Elizabeth May, People's Party of Canada leader Maxime Bernier, Canadian Prime Minister and Liberal party leader Justin Trudeau and Conservative party leader Andrew Scheer take part in the F… [+5784 chars]",2019-10-11T00:44:28Z
Zi-Ann Lum,Scheer’s Vow To Close Border Crossing Loophole Is 'Specious': Refugee Law Expert - HuffPost Canada,Scheer’s Vow To Close Border Crossing Loophole Is 'Specious': Refugee Law Expert HuffPost Canada Elections Canada contradicts Scheer's claim that ruling was issued in support of Conservative advertising practices The Globe and Mail What’s more cringeworthy th…,"Conservative Leader Andrew Scheer campaigns for the upcoming election in Mississauga, Ont., on Oct. 8, 2019.
OTTAWA Andrew Scheers promise to close a loophole in the Safe Third Country Agreement is specious, according to a refugee law expert.
The Conservati… [+6580 chars]",2019-10-09T21:45:07Z
,Beef recall expands as Toronto slaughterhouse co-operates with CFIA - Toronto Sun,"Beef recall expands as Toronto slaughterhouse co-operates with CFIA Toronto Sun Ontario-wide meat recall includes St. Catharines store StCatharinesStandard.ca Walmart, Pusateri's named in CFIA's updated beef and veal products recall CTV News Beef recall expan…","A large recall of raw beef and veal products continued to expand this week with Canada’s food watchdog issuing safety warnings about dozens of items sold at restaurants and retail outlets including Walmart and the gourmet food chain Pusateri’s.
The Canadian … [+3935 chars]",2019-10-16T21:37:00Z
